Brand,model,transmission,fuelType,year,mileage,tax,mpg,engineSize,paintQuality%,previousOwners,price
Ford, Focus,Manual,Petrol,2019,82584.13442011928,145.0,49.6,,68.0,4,17350
BMW, X3,Automatic,Diesel,2015,110860.0,145.0,54.3,2.0,69.0,0,13295
Ford, Fiesta,Manual,Petrol,2019,14839.0,145.0,,1.0,91.0,0,13500
Opel, Mokka X,Semi-Auto,Petrol,2018,8709.0,150.0,43.5,1.4,74.0,2,14705
Ford, EcoSport,Manual,Diesel,2018,9900.0,145.0,58.9,1.5,86.0,3,14995
Opel, Crossland X,Automatic,Petrol,2019,4488.0,145.0,44.8,1.2,36.0,0,15999
Toyota, Aygo,Manual,Petrol,2016,13171.0,0.0,69.0,1.0,,2,6995
Mercedes, C Class,Semi-Auto,Diesel,2015,,150.0,53.3,2.1,43.0,0,10995
Toyota, RAV4,Automatic,Hybrid,2019,16885.0,135.0,49.6,2.5,67.0,1,29900
BMW, 3 Series,Manual,Diesel,2020,101.0,145.0,58.9,2.0,79.0,0,22990
Opel, Mokka,Manual,,2015,31379.0,200.0,40.9,1.6,45.0,1,7998
Skoda, Octavia,Manual,Petrol,2014,48581.0,30.0,53.3,1.4,93.0,3,9700
Skoda, Fabia,Manual,Petrol,2017,21000.0,,60.1,1.2,66.0,2,8995
Ford, Focus,Manual,Petrol,2014,23800.0,30.0,56.5,1.0,78.0,0,8500
Ford, Focus,Manual,Petrol,2017,18866.0,145.0,57.7,1.0,70.0,3,12270
VW, Up,Manual,Petrol,2017,9028.0,145.0,64.2,1.0,73.0,0,8299
Mercedes, C Class,Manual,Petrol,2017,25820.0,125.0,53.3,2.0,96.0,2,14307
Opel, Corsa,Manual,Petrol,2019,100.0,145.0,,1.4,44.0,0,9990
BMW, 3 Series,Automatic,Diesel,2018,19662.0,145.0,64.2,2.0,93.0,2,17500
Audi, RS3,Semi-Auto,Petrol,2016,16594.0,300.0,,2.5,48.0,2,31072
Skoda, Kamiq,Manual,Petrol,2019,2100.0,145.0,,1.0,90.0,0,18495
Skoda, Fabia,Manual,Diesel,2018,3957.0,145.0,70.6,1.4,38.0,0,15275
, A6,Manual,Diesel,2015,49363.0,30.0,62.8,2.0,69.0,4,17950
Ford, Fiesta,Manual,Petrol,2018,33906.0,150.0,65.7,1.0,3.2257436177114727,3,10490
Toyota, Yaris,Manual,Petrol,2017,18250.0,145.0,58.9,1.5,65.0,4,10000
Opel, Mokka X,Manual,Diesel,2017,,30.0,65.7,1.6,71.0,2,9198
BMW, 2 Series,Semi-Auto,Petrol,2020,1743.0,150.0,50.4,1.5,57.0,3,23990
BMW, X1,Semi-Auto,Petrol,2019,9697.0,145.0,39.8,1.5,77.0,4,24712
Ford, Kuga,Automatic,Petrol,2019,11251.0,145.0,29.1,1.5,87.0,2,20900
VW, Up,Manual,Petrol,2013,28310.0,20.0,60.1,1.0,90.0,3,6640
Skoda, Citigo,Manual,Petrol,2015,25373.0,20.0,62.8,1.0,68.0,3,5995
Opel, Adam,Manual,Petrol,2016,49632.0,125.0,53.3,1.4,63.0,1,6898
Mercedes, GLE Class,Automatic,Diesel,2019,5432.0,145.0,36.7,3.0,88.0,1,49399
Mercedes,,Automatic,Petrol,2015,20750.0,325.0,30.1,4.0,43.0,3,59991
VW, Tiguan,Manual,Diesel,2016,23140.0,160.0,,2.0,34.0,4,17290
Ford, Focus,Automatic,Petrol,2016,14127.0,125.0,51.4,1.0,81.0,2,10995
BMW, 4 Series,Automatic,Petrol,2016,27214.0,200.0,41.5,3.0,67.0,3,23480
Opel, Vivaro,Manual,Diesel,2018,13585.0,145.0,50.4,1.6,86.0,1,19998
Ford, Fiesta,Manual,Petrol,2019,6164.0,145.0,58.9,1.0,91.0,0,15299
Opel, Mokka,Manual,Diesel,2015,34254.0,20.0,68.9,1.6,53.0,3,8998
BMW, 4 Series,Semi-Auto,Diesel,2019,101.0,145.0,65.7,2.0,76.0,1,26940
Ford, Fiesta,Manual,Petrol,2018,82584.13442011928,150.0,65.7,1.0,80.0,1,10250
Opel, Mokka X,Semi-Auto,Petrol,2018,32346.0,150.0,37.2,1.4,84.0,0,13490
BMW, 3 Serie,Automatic,Petrol,2016,13493.0,160.0,,2.0,55.0,1,18898
VW, up,Manual,Petrol,2020,531.0,,,1.0,63.0,0,11780
Ford, Focus,Automatic,Petrol,2015,6693.0,165.0,44.8,1.6,45.0,0,10500
Audi, A1,,Petrol,2017,25168.0,30.0,55.4,1.4,66.0,2,14399
VW, Polo,Manual,Petrol,2017,27599.0,150.0,58.9,1.0,77.0,1,9290
